name,actualFunctions,embeddedFunctions,functionalCategories,keyIngredientTypes,isKeyIngredient,suitableForSkinTypes,addressesConcerns,providedBenefits,usageInstructions,pregnancySafe,sensitivities,alcoholFree,fragranceFree,siliconeFree,sulfateFree,parabenFree,explanation,benefit,safety,alternativeNames,whatItDoes,url
"Sodium Cocoamphoacetate1236Cleansing, Foaming",Cleansing,,Cleansing,Others,No,Oily,"Acne, Oiliness","Cleansing, Oil Control",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Kami belum memiliki deskripsi untuk natrium cocoampHoacetate. Lihat All648 Productswith Sodium CocoampHoacetate Pengguna yang menyukai Pengguna IT25% yang menghindari IT75% apa yang tidak dibebaskan dari kotoran, kontaminasi, atau pengotor yang dapat diproduksi atau dikeluarkan sebagai busa; foth.prevalenceless Commonpersentage produk yang mengandung IT0.7%Top CategoriesCleanserStreatmentsMoisturizersPositionPred Predomed dominan penempatan 25%",,"See all 648 products with Sodium Cocoamphoacetate Users who like it 25% Users who avoid it 75% What it does Cleansing To free from dirt, contamination, or impurities Foaming To produce or issue as foam, froth","SODIUM COCOAMPHOACETATE, 291-352-6/931-291-0, All Functions, Cleansing","CleansingTo free from dirt, contamination, or impuritiesFoamingTo produce or issue as foam, froth.",https://skinsort.com/ingredients/sodium-cocoamphoacetate
Aureobasidium Pullulans Ferment125Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk fermentasi Aureobasidium pullulans. Lihat All66 Produkswith Aureobasidium Pullulans Memfermentasi Apa yang Doesskin mengondisikan untuk menghidrasi dan melunakkan skinprevalence -incentage produk yang mengandungnya yang mengandungnya.,,,"AUREOBASIDIUM PULLULANS FERMENT, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/aureobasidium-pullulans-ferment
"Caffeyl Glucoside12Skin Conditioning, Antioxidant","Skin Conditioning, Antioxidant",,"Moisturizing, Protective",Others,No,"Dry,  Normal","Aging, Dryness","Hydrating, Protecting, Anti-aging, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Caffeyl glukosida adalah antioksidan. See all32 productswith Caffeyl Glucoside What it doesSkin ConditioningTo hydrate and soften skinAntioxidantA substance that inhibits oxidation, especially one, such as vitamin e, vitamin c, or beta carotene, that protects cellsfrom the sometimes damaging effects of oxidation.PrevalenceLess commonPercentage of products that contain it0%Top CategoriestreatmentsmoisturizersSunScreenspositionPredomed dominan penempatan BBOTTOM 50%",,,"CAFFEYL GLUCOSIDE, All Functions, Antioxidant, Skin Conditioning","Skin ConditioningTo hydrate and soften skinAntioxidantA substance that inhibits oxidation, especially one, such as vitamin e, vitamin c, or beta carotene, that protects cellsfrom the sometimes damaging effects of oxidation.",https://skinsort.com/ingredients/caffeyl-glucoside
Paeonia Lactiflora Root Extract12Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk ekstrak akar Paeonia lactiflora. Lihat All319 Produkswith Paeonia Lactiflora Ekstrak Root Apa yang Doesskin mengondisikan untuk melembabkan dan melunakkan skinprevalencel tidak masuknya produksi produk yang mengandungnya.,,,"PAEONIA LACTIFLORA ROOT EXTRACT, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/paeonia-lactiflora-root-extract
Palmitoyl Tetrapeptide-72 Amide12Skin Conditioning,Skin Conditioning,,Moisturizing,Peptides,Yes,"Dry,  Normal","Aging, Dryness","Hydrating, Anti-aging, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Palmitoyl tetrapeptide-72 amida adalah peptida. Lihat All10 Productswith Palmitoyl Tetrapeptide-72 Amide Apa yang Doesskin mengondisikan untuk melembabkan dan melunakkan skinprevalencel tidak masuk ke produk yang mengandung IT0%PositionPedomed dominan penempatan 50%,,,"PALMITOYL TETRAPEPTIDE-72 AMIDE, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/palmitoyl-tetrapeptide-72-amide
Hydrolyzed Sponge124Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk spons terhidrolisis. Lihat All102 Productswith Hidrolised Spons Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuknya produk yang mengandungnya.,,,"HYDROLYZED SPONGE, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/hydrolyzed-sponge
"Caffeoyl Tripeptide-112Antioxidant, Skin Protecting","Skin Protecting, Antioxidant",,"Moisturizing, Protective",Peptides,Yes,Normal,Aging,"Protecting, Anti-aging",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Caffeoyl tripeptide-1 adalah antioksidan dan merupakan peptida. Lihat All26 Produkswith Caffeoyl Tripeptide-1 Apa zat doantioxidanta yang menghambat oksidasi, terutama satu, seperti vitamin E, vitamin C, atau beta karoten, yang melindungi sel-sel dari efek oksidasi yang terkadang merusak. CategoriesTreatmentsmoisturizersmasksposition Predomed dominan penempatan BBOTTOM 25%",,,"CAFFEOYL TRIPEPTIDE-1, All Functions, Antioxidant, Skin Protecting","AntioxidantA substance that inhibits oxidation, especially one, such as vitamin e, vitamin c, or beta carotene, that protects cellsfrom the sometimes damaging effects of oxidation.Skin ProtectingTo keep skin from being damaged to a certain degree",https://skinsort.com/ingredients/caffeoyl-tripeptide-1
Triheptanoin121Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk triheptanoin. Lihat All337 Productswith triheptanoin Apa yang dikondisikan olehnya untuk melembabkan dan melunakkan skinprevalencel tidak masuknya persentase produk yang mengandungnya.,,,"TRIHEPTANOIN, 210-647-2, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/triheptanoin
Genistein122Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk Genistein. Lihat All15 Productswith Genistein Apa yang Doesskin mengondisikan untuk menghidrasi dan melunakkan skinprevalenceless common cententage produk yang mengandung IT 0%PositionPedomed dominan penempatan 50%,,,"GENISTEIN, 207-174-9, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/genistein
Bellis Perennis Flower Extract124Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Ekstrak daisy memiliki sifat antioksidan dan anti-inflamasi. Studi dari tahun 2021 menemukan ekstrak ini untuk melindungi kulit terhadap kerusakan UV-A. Ini seharusnya tidak menggantikan tabir surya Anda! Lihat All182 Produkswith Bellis Perennis Bunga Ekstrak Apa yang Doesskin mengondisikan untuk menghidrasi dan melunakkan nama -nama SkinalSternatif Extractprevalencelseless dari produk -produk yang mengandungnya.,,,"Daisy Extract, Prevalence, Less common, Percentage of products that contain it, BELLIS PERENNIS FLOWER EXTRACT",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/bellis-perennis-flower-extract
"Larix Europaea Wood Extract12Humectant, Skin Conditioning","Skin Conditioning, Humectant",,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Larix Europaea adalah pohon larch yang berasal dari Eropa. Ini digunakan dalam pengobatan redensyl, alternatif untuk minoxidil untuk pertumbuhan rambut. Target redensil sel induk dan fibroblas dari atas, lapisan dalam kulit Anda. Larix Europaea Bark mengandung antioksidan dan fitokonstituen seperti flavonoid, spiro-polifenol, dan procyanidins.Flavonoids adalah kompleks yang terjadi secara alami di tanaman. Anda juga dapat menemukannya dalam makanan seperti anggur, teh, dan cokelat. Flavonoid adalah antioksidan yang kuat dan anti-inflamasi. Antioksidan membantu tubuh Anda melawan molekul radikal bebas. Molekul radikal bebas...",,,"LARIX EUROPAEA WOOD EXTRACT, 294-466-4, All Functions, Humectant",HumectantA substance that promotes retention of moisture.Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/larix-europaea-wood-extract
Cassia Obtusifolia Seed Extract123Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk ekstrak biji Cassia obtusifolia. Lihat All29 Productswith Cassia obtusifolia Ekstrak Seed What It Doesskin Conditioning to Hydrate dan Soften SkinPrevalenceless Common Consentage dari Produk yang mengandung IT 0%Top CategoriesTreatmentscleansersmoisturizerspositionPosition Predomentant Placementtop 50%,,,"CASSIA OBTUSIFOLIA SEED EXTRACT, 297-202-6, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/cassia-obtusifolia-seed-extract
Mannose12Humectant,Humectant,,Moisturizing,Others,No,Dry,Dryness,Hydrating,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk Mannose. Lihat All146 Produkswith Mannose Apa yang Dishumectanta Substansi yang mempromosikan retensi kelembaban.,,,"MANNOSE, 222-392-4, All Functions, Humectant",HumectantA substance that promotes retention of moisture.,https://skinsort.com/ingredients/mannose
Hydrolyzed Dna122Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk DNA terhidrolisis. Lihat All33 Productswith DNA Dihidrolisis Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalenceless common cententage produk yang mengandung IT0%kategoriesTreatmentsmoisturizerscleans dengan penempatan dominan yang dominan 50%,,,"HYDROLYZED DNA, All Functions, Hair Conditioning, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/hydrolyzed-dna
Usnea Barbata Extract121Deodorant,,,,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk ekstrak Usnea barbata. Lihat All175 Productswith Usnea Barbata Extract Common -Incentage Common -Products Produk Yang Berisi 0.2%Top CategoriesCleansersmoisturizerStreatmentSpositionPredomed dominan penempatan BBOTTOM 50%,,2% Top categories Cleansers Moisturizers Treatments Position Predominant list placement Bottom 50% Products with Usnea Barbata Extract Haruharu Wonder Black Rice Hyaluronic Toner For Sensitive Skin Toner Haruharu Wonder Black Rice Moisture 5,"USNEA BARBATA EXTRACT, 283-658-3, All Functions, Deodorant",,https://skinsort.com/ingredients/usnea-barbata-extract
Ciclopirox Olamine12Antimicrobial,Antimicrobial,,Cleansing,Others,No,Oily,Acne,Cleansing,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk ciclopirox olamine. Lihat all12 Produk dengan ciclopirox olamine Apa yang doantimicrobial tidak dapat dihancurkan atau menghambat pertumbuhan mikroorganisme yang tidak menguntungkan persentase umum yang mengandung konsentrasi konsentrasi 25%posisi.,,,"CICLOPIROX OLAMINE, Ciclopirox olamine [USAN:JAN], 255-464-9",AntimicrobialCapable of destroying or inhibiting the growth of microorganisms,https://skinsort.com/ingredients/ciclopirox-olamine
Morus Alba Bark Extract123Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk ekstrak kulit kayu morus alba. Lihat All318 Produkswith Morus alba Bark Ekstrak Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak adanya konsentase produk yang mengandungnya.,,,"MORUS ALBA BARK EXTRACT, 303-403-2, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/morus-alba-bark-extract
Hydrolyzed Hibiscus Esculentus E...12Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk ekstrak kembang sepatu Esculentus yang terhidrolisis. Lihat All76 Produkswith Hibiscus Esculentus Hidrolised Ekstrak Apa yang Doesskin mengondisikan untuk melembabkan dan melunakkan skinprevalencel tidak masuk ke produk yang mengandungnya.,,,"HYDROLYZED HIBISCUS ESCULENTUS EXTRACT, 294-510-2, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/hydrolyzed-hibiscus-esculentus-extract
Glycyrrhiza Glabra Leaf Extract126Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Ekstrak daun Glycyrrhiza glabra adalah ekstrak dari daun licorice, Glycyrrhiza glabra L., leguminosaee -Ekstracts dari licorice telah menunjukkan sifat antibakteri, anti -inflamasi, antivirus, antioksidan. Lihat All37 Productswith Glycyrrhiza Glabra Leaf Extract Apa yang Doesskin mengondisikan untuk melembabkan dan melunakkan skinprevalencel tidak menjadi commoncentage produk yang mengandung IT0%Top CategoriesScleanslip Caretreatmentmentsposition Predomed dominan penempatan 50%",,,"GLYCYRRHIZA GLABRA LEAF EXTRACT, 283-895-2, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/glycyrrhiza-glabra-leaf-extract
Saccharomyces/Zinc Ferment1211Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk fermentasi Saccharomyces/seng. Lihat All199 Productswith Saccharomyces/Seng Pengguna Fermentasi yang menyukai IT52%Pengguna yang menghindari IT48%Apa yang dikondisikan olehnya untuk melembabkan dan melunakkan skinprevalencelseless common cententage produk yang mengandung IT0.2%Top CategoriestreatmentshaircaremoisturizersPositionSposition Predomenant -predomenant 6%,,See all 199 products with Saccharomyces/Zinc Ferment Users who like it 52% Users who avoid it 48% What it does Skin Conditioning To hydrate and soften skin Prevalence Less common Percentage of products that contain it 0,"SACCHAROMYCES/ZINC FERMENT, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/saccharomyces-zinc-ferment
Polyglyceryl-10 Myristate12150Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Polyglyceryl-10 Myristate bukanlah jamur yang aman. Lihat All697 ProductSwith Polyglyceryl-10 Pengguna Myristate yang menyukai Pengguna IT7%yang menghindari IT93%Apa yang Doesskin mengondisikan untuk menghidrasi dan melunakkan Commonpersentage Common Incentage yang mengandung IT0,8%Top CategoriesStreanStreatmentmentsMskSpositionDomedomentred Daftar Penempatan IT.",,Explained Polyglyceryl-10 Myristate isn't fungal acne safe See all 697 products with Polyglyceryl-10 Myristate Users who like it 7% Users who avoid it 93% What it does Skin Conditioning To hydrate and soften skin Prevalence Less common Percentage of products that contain it 0,"POLYGLYCERYL-10 MYRISTATE, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/polyglyceryl-10-myristate
Cladosiphon Okamuranus Extract1213Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk ekstrak CladosipHon Okamuranus. Lihat All85 Productswith CladosipHon Okamuranus mengekstrak pengguna yang menyukai IT48%pengguna yang menghindari IT52%apa yang dikondisikan olehnya untuk melembabkan dan melunakkan CommonPentage Common Consentage yang mengandung IT0.1%Kategori Top.,,See all 85 products with Cladosiphon Okamuranus Extract Users who like it 48% Users who avoid it 52% What it does Skin Conditioning To hydrate and soften skin Prevalence Less common Percentage of products that contain it 0,"CLADOSIPHON OKAMURANUS EXTRACT, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/cladosiphon-okamuranus-extract
Pearl Powder125,,,,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Bubuk mutiara dibuat dengan menggiling mutiara air segar atau air asin. Mutiara kaya akan asam amino, magnesium, kalium, kalsium, dan senyawa antioksidan. Dua antioksidan yang ditemukan dalam mutiara meliputi: superoksida dismutase (SOD) dan glutathione. Antioksidan membantu mengurangi tanda -tanda penuaan. Gluthatione telah terbukti membantu mencegah proses penciptaan melanin, meskipun diperlukan penelitian lebih lanjut. Studi menunjukkan mutiara dapat membantu penyembuhan luka. Ini adalah bubuk mutiara vegan? Mutiara dipanen dari tiram. Untuk menjadi vegan, bAHAn tidak bisa berasal dari sumber binatang.",,,"PEARL POWDER, All Functions, Not Reported",,https://skinsort.com/ingredients/pearl-powder
